director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Sundar C,Kamal Haasan,Madhavan,Kiran Rathod,Adventure Comedy Drama,anbe sivam,Kamal Haasan Madhavan Kiran Rathod Sundar C Adventure Comedy Drama
Stere Gulea,Victor Rebengiuc,Luminița Gheorghiu,Gina Patrichi,Drama,the moromete family,Victor Rebengiuc Luminița Gheorghiu Gina Patrichi Stere Gulea Drama
Ertem Eğilmez,Kemal Sunal,Halit Akçatepe,Şener Şen,Comedy,şaban oğlu şaban,Kemal Sunal Halit Akçatepe Şener Şen Ertem Eğilmez Comedy
Sukumar,Mahesh Babu,Kriti Sanon,Nassar,Action Comedy Romance,1 - nenokkadine,Mahesh Babu Kriti Sanon Nassar Sukumar Action Comedy Romance
Abhishek Jain,Manoj Joshi,Amit Mistry,Prateek Gandhi,Family Comedy Drama,bey yaar,Manoj Joshi Amit Mistry Prateek Gandhi Abhishek Jain Family Comedy Drama
Jacques Deray,Lino Ventura,Claudine Auger,Paul Crauchet,Drama,un papillon sur l'épaule,Lino Ventura Claudine Auger Paul Crauchet Jacques Deray Drama
Michel Deville,Jean-Louis Trintignant,Jean-Pierre Cassel,Romy Schneider,Drama Comedy,love at the top,Jean-Louis Trintignant Jean-Pierre Cassel Romy Schneider Michel Deville Drama Comedy
Rino Di Silvestro,Lina Polito,Erna Schürer,John Steiner,Drama Thriller War,deported women of the ss special section,Lina Polito Erna Schürer John Steiner Rino Di Silvestro Drama Thriller War
Rino Di Silvestro,Anita Strindberg,Eva Czemerys,Jenny Tamburi,Crime Drama,women in cell block 7,Anita Strindberg Eva Czemerys Jenny Tamburi Rino Di Silvestro Crime Drama
Lance Daly,Kelly Thornton,Fionnula Flanagan,Pat Shortt,Drama Comedy,life's a breeze,Kelly Thornton Fionnula Flanagan Pat Shortt Lance Daly Drama Comedy
Joel Steege,Addison Steege,Amelia Steege,Brendan Steege,Family,the runner from ravenshead,Addison Steege Amelia Steege Brendan Steege Joel Steege Family
Filippos Tsitos,Antonis Kafetzopoulos,Anastasias Kozdine,Giorgos Souxes,Drama Comedy,plato's academy,Antonis Kafetzopoulos Anastasias Kozdine Giorgos Souxes Filippos Tsitos Drama Comedy
Thom Fitzgerald,Olympia Dukakis,Brenda Fricker,John Dunsworth,Adventure Drama Comedy Thriller Foreign,cloudburst,Olympia Dukakis Brenda Fricker John Dunsworth Thom Fitzgerald Adventure Drama Comedy Thriller Foreign
Richard Hobert,Sven-Bertil Taube,Rebecca Ferguson,Dan Ekborg,Drama,a one-way trip to antibes,Sven-Bertil Taube Rebecca Ferguson Dan Ekborg Richard Hobert Drama
Paul Shapiro,Jon Cryer,Ed Asner,Nancy Drake,TV Movie Crime Comedy,heads,Jon Cryer Ed Asner Nancy Drake Paul Shapiro TV Movie Crime Comedy
Michael Addis,Stephen Burrows,Dave Attell,Criss Angel,Documentary Comedy,heckler,Stephen Burrows Dave Attell Criss Angel Michael Addis Documentary Comedy
Edward F. Cline Buster Keaton,Buster Keaton,Bartine Burkett,Charles Dorety,Crime Comedy,the high sign,Buster Keaton Bartine Burkett Charles Dorety Edward F. Cline Buster Keaton Crime Comedy
Don Edmonds,Dyanne Thorne,Max Thayer,Jerry Delony,Action Horror,"ilsa, harem keeper of the oil sheiks",Dyanne Thorne Max Thayer Jerry Delony Don Edmonds Action Horror
Don Edmonds,Robert Viharo,Sherry Jackson,Michael Heit,Adventure Action Thriller,bare knuckles,Robert Viharo Sherry Jackson Michael Heit Don Edmonds Adventure Action Thriller
Julia Kuperberg Clara Kuperberg,James Cameron,Roland Emmerich,George Lucas,Documentary,hollywood between paranoia and sci-fi. the power of myth,James Cameron Roland Emmerich George Lucas Julia Kuperberg Clara Kuperberg Documentary
Dean Cundey,Rick Moranis,Eve Gordon,Bug Hall,Adventure Comedy Family Sci-Fi Action,"honey, we shrunk ourselves",Rick Moranis Eve Gordon Bug Hall Dean Cundey Adventure Comedy Family Sci-Fi Action
Bryan Buckley,Chevy Chase,Beverly D'Angelo,Travis Greer,Comedy,hotel hell vacation,Chevy Chase Beverly D'Angelo Travis Greer Bryan Buckley Comedy
Yorgos Lanthimos,Aris Servetalis,Evangelia Randou,Costas Xikominos,Drama,kinetta,Aris Servetalis Evangelia Randou Costas Xikominos Yorgos Lanthimos Drama
Lewis Abernathy,Terri Treas,William Katt,Scott Burkholder,Thriller Horror,house iv,Terri Treas William Katt Scott Burkholder Lewis Abernathy Thriller Horror
Spencer Susser,Brad Ashby,Mia Wasikowska,Vladimir Matovic,Horror,i love sarah jane,Brad Ashby Mia Wasikowska Vladimir Matovic Spencer Susser Horror
Percy Adlon,Eva Mattes,Jürgen Arndt,Norbert Wartha,Drama,céleste,Eva Mattes Jürgen Arndt Norbert Wartha Percy Adlon Drama
Percy Adlon,Marianne Sägebrecht,Eisi Gulp,Toni Berger,Comedy,sugarbaby,Marianne Sägebrecht Eisi Gulp Toni Berger Percy Adlon Comedy
Percy Adlon Felix O. Adlon,Johannes Silberschneider,Barbara Romaner,Karl Markovics,Drama,mahler on the couch,Johannes Silberschneider Barbara Romaner Karl Markovics Percy Adlon Felix O. Adlon Drama
Noriaki Yuasa,Kôji Fujiyama,Reiko Kasahara,Isamu Saeki,Adventure Sci-Fi Action,gamera vs. zigra,Kôji Fujiyama Reiko Kasahara Isamu Saeki Noriaki Yuasa Adventure Sci-Fi Action
Tony Craig Roberts Gannaway,Daveigh Chase,Chris Sanders,Tia Carrere,Animation Comedy Family,stitch! the movie,Daveigh Chase Chris Sanders Tia Carrere Tony Craig Roberts Gannaway Animation Comedy Family
Matthias Emcke,Til Schweiger,Jana Pallaske,Stipe Erceg,Drama Foreign,phantom pain,Til Schweiger Jana Pallaske Stipe Erceg Matthias Emcke Drama Foreign
Steve Pink,Rob Corddry,Craig Robinson,Clark Duke,Comedy,hot tub time machine 2,Rob Corddry Craig Robinson Clark Duke Steve Pink Comedy
Michel Audiard,Annie Girardot,Bernard Blier,Maurice Biraud,Comedy Crime,"she no longer talks, she shoots",Annie Girardot Bernard Blier Maurice Biraud Michel Audiard Comedy Crime
Guillaume Nicloux,Monica Bellucci,Catherine Deneuve,Moritz Bleibtreu,Adventure Crime Drama Fantasy Mystery Thriller,the stone council,Monica Bellucci Catherine Deneuve Moritz Bleibtreu Guillaume Nicloux Adventure Crime Drama Fantasy Mystery Thriller
Emmanuel Klotz Albert Pereira-Lazaro,Vincent Cassel,Omar Sy,Fred Testot,Animation Comedy,lascars,Vincent Cassel Omar Sy Fred Testot Emmanuel Klotz Albert Pereira-Lazaro Animation Comedy
Riad Sattouf,Vincent Lacoste,Anthony Sonigo,Alice Trémolière,Comedy,the french kissers,Vincent Lacoste Anthony Sonigo Alice Trémolière Riad Sattouf Comedy
John Farrow,Alan Ladd,Gail Russell,William Bendix,Action Crime Drama,calcutta,Alan Ladd Gail Russell William Bendix John Farrow Action Crime Drama
Giorgio Ferroni,Gianni Garko,Agostina Belli,Roberto Maldera,Horror Foreign,night of the devils,Gianni Garko Agostina Belli Roberto Maldera Giorgio Ferroni Horror Foreign
Sanaa Hamri,Jane Seymour,Sara Paxton,Tom Wopat,Comedy Fantasy Romance,lovestruck: the musical,Jane Seymour Sara Paxton Tom Wopat Sanaa Hamri Comedy Fantasy Romance
Cory James Krueckeberg,Tanner Cohen,Matthew Camp,Ramón Olmos Torres,Drama,getting go: the go doc project,Tanner Cohen Matthew Camp Ramón Olmos Torres Cory James Krueckeberg Drama
Peter Richardson,Eddie Izzard,Mac McDonald,Rhona Mitra,Comedy,eddie izzard: glorious,Eddie Izzard Mac McDonald Rhona Mitra Peter Richardson Comedy
Tawnia McKiernan,Anna Gunn,John Stamos,Samantha Munro,Drama Mystery Thriller TV Movie,secrets of eden,Anna Gunn John Stamos Samantha Munro Tawnia McKiernan Drama Mystery Thriller TV Movie
Edoardo de Angelis,Luca Zingaretti,Marco D'Amore,Simona Tabasco,Drama,perez.,Luca Zingaretti Marco D'Amore Simona Tabasco Edoardo de Angelis Drama
John Mackie,Dexter Fletcher,Cloe Mackie,Holly Mackie,Horror Fantasy,the coven,Dexter Fletcher Cloe Mackie Holly Mackie John Mackie Horror Fantasy
William A. Fraker,Robert Shaw,Sally Kellerman,Sondra Locke,Horror,a reflection of fear,Robert Shaw Sally Kellerman Sondra Locke William A. Fraker Horror
Jesús Franco,Dyanne Thorne,Tania Busselier,Eric Falk,Drama Horror,"ilsa, the mad butcher",Dyanne Thorne Tania Busselier Eric Falk Jesús Franco Drama Horror
Jesús Franco,Susan Hemingway,Ana Zanatti,William Berger,Adventure Drama Horror,love letters of a portuguese nun,Susan Hemingway Ana Zanatti William Berger Jesús Franco Adventure Drama Horror
Jesús Franco,Martine Fléty,Sarah Strasberg,Dagmar Bürger,Action Thriller,blue rita,Martine Fléty Sarah Strasberg Dagmar Bürger Jesús Franco Action Thriller
Jesús Franco,Karine Gambier,Howard Vernon,Susan Hemingway,Drama Action Crime,women in cellblock 9,Karine Gambier Howard Vernon Susan Hemingway Jesús Franco Drama Action Crime
Jesús Franco,Muriel Montossé,Ada Tauler,Monica Swinn,Adventure Drama Thriller,love camp,Muriel Montossé Ada Tauler Monica Swinn Jesús Franco Adventure Drama Thriller
